Date,MSFT,AAPL,NVDA,AMD
4/25/2023,275.42,163.77,262.41,83.8
4/24/2023,281.77,165.33,270.42,87.57
4/21/2023,285.76,165.02,271.19,88.43
4/20/2023,286.11,166.65,271.04,90.11
4/19/2023,288.45,167.63,279.31,89.94
4/18/2023,288.37,166.47,276.67,89.78
4/17/2023,288.8,165.23,270.02,89.87
4/14/2023,286.14,165.21,267.58,91.75
4/13/2023,289.84,165.56,264.63,92.09
4/12/2023,283.49,160.1,264.95,92.33
4/11/2023,282.83,160.8,271.69,94.03
4/10/2023,289.39,162.03,275.79,95.48
4/6/2023,291.6,164.66,270.37,92.47
4/5/2023,284.34,163.76,268.81,92.56
4/4/2023,287.18,165.63,274.53,95.87
4/3/2023,287.23,166.17,279.65,96.56
3/31/2023,288.3,164.9,277.77,98.01
3/30/2023,284.05,162.36,273.83,97.88
3/29/2023,280.51,160.77,269.84,96.09
3/28/2023,275.23,157.65,264.1,94.56
3/27/2023,276.38,158.28,265.31,96.61
3/24/2023,280.57,160.25,267.79,97.95
3/23/2023,277.66,158.93,271.91,100.28
3/22/2023,272.29,157.83,264.68,97.58
3/21/2023,273.78,159.28,261.99,95.93
3/20/2023,272.23,157.4,259,96.81
3/17/2023,279.43,155,257.25,97.84
3/16/2023,276.2,155.85,255.41,96.6
3/15/2023,265.44,152.99,242.28,89.68
3/14/2023,260.79,152.59,240.63,87.45
3/13/2023,253.92,150.47,229.66,82.01
3/10/2023,248.59,148.5,229.65,82.67
3/9/2023,252.32,150.59,234.36,84.03
3/8/2023,253.7,152.87,241.81,85.37
3/7/2023,254.15,151.6,232.88,82.11
3/6/2023,256.87,153.83,235.54,81.16
3/3/2023,255.29,151.03,238.9,81.52
3/2/2023,251.11,145.91,233.14,80.44
3/1/2023,246.27,145.31,226.98,78.29
2/28/2023,249.42,147.41,232.16,78.58
2/27/2023,250.16,147.92,235.01,78.77
2/24/2023,249.22,146.71,232.86,78.09
2/23/2023,254.77,149.4,236.64,79.75
2/22/2023,251.51,148.91,207.54,76.61
2/21/2023,252.67,148.48,206.55,76.77
2/17/2023,258.06,152.55,213.88,78.5
2/16/2023,262.15,153.71,220.02,80.08
2/15/2023,269.32,155.33,227.64,85.18
2/14/2023,272.17,153.2,229.71,85.95
2/13/2023,271.32,153.85,217.88,83.13
2/10/2023,263.1,151.01,212.65,81.48
